index,url,Nominal voltage (V),No load speed (rpm),No load current (mA),Nominal speed (rpm),Nominal torque (max. continuous torque) (mNm),Nominal current (max. continuous current) (A),Stall torque (mNm),Stall current (A),Max. efficiency (%),Terminal resistance (Ω),Terminal inductance (mH),Torque constant (mNm/A),Speed constant (rpm/V),Speed / torque gradient (rpm/mNm),Mechanical time constant (ms),Rotor inertia (gcm²),Thermal resistance housing-ambient (K/W),Thermal resistance winding-housing (K/W),Thermal time constant winding (s),Thermal time constant motor (s),Ambient temperature (°C),Max. winding temperature (°C),Max. speed (rpm),Axial play (mm) (N),Unnamed: 26 (N),Radial play (mm),Max. axial load (dynamic) (N),Max. force for press fits (static) (N),"(static, shaft supported) (N)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight (g),Bearing type,Number of commutator segments,Protection
27,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CF50K2IL1Y450A,24,13400,146,12300,46,2.83,622,36.6,88,0.657,0.0481,17,561,21.7,1.95,8.6,13.1,0.335,1.84,711,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,110,Waelzlager,,
28,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CF50K2IL1Y501A,36,12100,84.6,11000,46.9,1.73,567,20,88,1.8,0.134,28.4,337,21.4,1.93,8.6,13.1,0.335,1.84,711,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,110,Waelzlager,,
29,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CF50K2IL1Y543A,48,10600,53.5,9500,48,1.16,501,11.6,87,4.13,0.309,43.1,222,21.2,1.91,8.6,13.1,0.335,1.86,711,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,110,Waelzlager,,
30,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CN50K2SC1Y409A,18,15200,250,14000,46,4.3,651,57.9,87,0.311,0.0195,11.2,849,23.5,2.09,8.5,13.1,0.335,1.86,711,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,120,Waelzlager,,
31,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CN50K2SC1Y450A,24,13500,160,12400,46.8,2.91,604,35.8,87,0.671,0.0438,16.9,566,22.5,2,8.5,13.1,0.335,1.86,711,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,120,Waelzlager,,
32,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CN50K2SC1Y501A,36,12200,92.5,11100,47.8,1.78,565,20.1,87,1.79,0.122,28.1,340,21.6,1.93,8.5,13.1,0.335,1.86,711,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,120,Waelzlager,,
33,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CN50K2SC1Y540A,48,11000,60.5,9840,48.2,1.21,506,12.2,87,3.95,0.266,41.6,229,21.7,1.94,8.5,13.1,0.335,1.84,711,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,120,Waelzlager,,
34,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/re/re10/118382,2.4,10300,16.2,1610,0.76,0.367,0.924,0.432,66,5.55,0.0461,2.14,4470,11600,8.15,0.0671,45.5,19.5,3.37,119,-20...+65,+85,19000,0.05 - 0.15,,0.012,0.15,15,,"0.4 N, 4 mm from flange",1,,0.0,7,sleeve bearing,7.0,
35,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax16/283828,12,13500,60.2,5840,3.23,0.456,5.95,0.762,54,15.7,0.254,7.8,1220,2470,11.1,0.428,23.5,2.57,0.914,390,-40...+100,+155,20000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",,1,18,600,"6 N, 5 mm from flange",1,3.0,0.0,36,ball bearings,,
36,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax16/283833,12,11900,64.2,7300,8.02,0.909,21.1,2.27,70,5.3,0.14,9.32,1020,582,5.18,0.85,17.7,1.41,0.99,427,-40...+100,+155,20000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",,1,18,400,"6 N, 5 mm from flange",1,3.0,0.0,52,ball bearings,,
37,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax16/283835,24,11900,31.9,7350,8.19,0.461,22,1.17,71,20.5,0.566,18.7,510,556,4.95,0.85,17.7,1.41,1.04,427,-40...+100,+155,20000,"0 mm, at radial load < 1.5","0.14 mm, at radial load > 1.5",,1,18,400,"6 N, 5 mm from flange",1,3.0,0.0,52,ball bearings,,
38,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecmax/ecmax22/283838,12,12100,155,8040,10.2,1.25,31.3,3.47,64,3.46,0.121,9.02,1060,406,9.56,2.25,13.5,1.72,1.63,567,-40...+100,+155,18000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",,3.5,53,1400,"16 N, 5 mm from flange",1,3.0,0.0,83,ball bearings,,
