Index,url,Absolute reduction,Max. efficiency (%),Width (mm),Weight (g),Outer diameter (mm)
108,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-HP/GPX12HPKLSL1526CPLW,19837224/13000,55.0,33.0,21,12.0
109,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-HP/GPX12HPKLSL16D0CPLW,5625/361,75.0,23.4,16,12.0
110,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-HP/GPX12HPKLSL26D0CPLW,4950/190,75.0,23.4,16,12.0
111,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-HP/GPX12HPKLSL35D0CPLW,4554/130,75.0,23.4,16,12.0
112,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-HP/GPX12HPKLSL62D0CPLW,421875/6859,65.0,28.1,19,12.0
113,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LN/GPX12LNKLSL0150CPLW,328509/2197,75.0,25.2,17,12.0
114,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-LN/GPX12LNKLSL0231CPLW,300564/1300,75.0,25.2,17,12.0
115,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LN/GPX12LNKLSL0243CPLW,31640625/130321,65.0,30.1,19,12.0
116,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-LN/GPX12LNKLSL03D9CPLW,75/19,90.0,15.5,11,12.0
117,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-LN/GPX12LNKLSL05D3CPLW,69/13,90.0,15.5,11,12.0
118,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LN/GPX12LNKLSL0734CPLW,23566950/32110,65.0,30.1,19,12.0
119,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-LN/GPX12LNKLSL1526CPLW,19837224/13000,65.0,30.1,19,12.0
120,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LN/GPX12LNKLSL16D0CPLW,5625/361,80.0,20.4,14,12.0
121,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-LN/GPX12LNKLSL26D0CPLW,4950/190,80.0,20.4,14,12.0
