index,url,Gearhead type,Version,Reduction (:1),Absolute reduction,Number of stages,Max. continuous torque (Nm),Max. intermittent torque (Nm),"Direction of rotation, drive to output",Max. efficiency (%),Gearhead length (L1) (mm),Bearing at output,Max. radial load,Max. axial load (dynamic) (N),Max. continuous input speed (rpm),Max. intermittent input speed (rpm),Recommended temperature range (°C),Weight (g),Outer diameter (mm),Average backlash no load (°),Max. motor shaft diameter (mm),Mass inertia (gcm²),Max. transmittable power (continuous) (W),Max. transmittable power (intermittent) (W),Radial play,Axial play (mm),Max. force for press fits (N),Extended temperature range (°C),Number of autoclave cycles,Max. feed velocity (mm/s),Max. feed force continuous (N),Max. feed force intermittent (N),Mechanical positioning accuracy (mm),Spindle length (mm),Axial play of the nut (mm)
51,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363864,GP,Spindle drive with ball screw,3.8,15/4,1,,,=,81,38,,"80 N, 15 mm from flange",,8000,8000,-15...+80,103,22,1,4,1,110,180,"0.05 mm, 5 mm from flange",,500,80...+80,0.0,70,100,236,0.039,150,0.008
52,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363867,GP,Spindle drive with ball screw,14,225/16,2,,,=,67,44.8,,"130 N, 15 mm from flange",,8000,8000,-15...+80,115,22,1.2,4,0.4,30,48,"0.05 mm, 5 mm from flange",,500,80...+80,0.0,19,154,365,0.04,150,0.008
53,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363872,GP,Spindle drive with ball screw,53,3375/64,3,,,=,57,51.6,,"180 N, 15 mm from flange",,8000,8000,-15...+80,128,22,1.6,4,0.3,7.9,13,"0.05 mm, 5 mm from flange",,500,80...+80,0.0,5,240,495,0.042,150,0.008
54,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363882,GP,Spindle drive with ball screw,198,50625/256,4,,,=,47,58.4,,"180 N, 15 mm from flange",,8000,8000,-15...+80,141,22,2,4,0.3,2.1,3.4,"0.05 mm, 5 mm from flange",,500,80...+80,0.0,1.3,372,495,0.044,150,0.008
55,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363901,GP,Spindle drive with metric screw,3.7,26/7,1,,,=,22,51,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,304,32,0.7,6,3,230,280,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,36,257,638,0.033,200,0.008
56,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363904,GP,Spindle drive with metric screw,14,676/49,2,,,=,20,57.7,ball bearing,"350 N, 15 mm from flange",2700,8000,8000,-15...+80,331,32,0.8,6,0.9,180,220,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,9.5,400,995,0.033,200,0.008
57,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363910,GP,Spindle drive with metric screw,51,17576/343,3,,,=,19,64.4,ball bearing,"400 N, 15 mm from flange",2700,8000,8000,-15...+80,359,32,1,6,0.7,99,120,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,2.6,616,1350,0.034,200,0.008
58,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363920,GP,Spindle drive with metric screw,246,421824/1715,4,,,=,16,71.1,ball bearing,"400 N, 15 mm from flange",2700,8000,8000,-15...+80,387,32,1,4,0.7,20,26,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,0.5,1040,1350,0.034,200,0.008
59,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363937,GP,Spindle drive with trapezoidal screw,3.7,,1,,,=,38,51,,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,304,32,0.7,6,2.4,230,280,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,72,296,723,0.035,,0.008
60,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363940,GP,Spindle drive with trapezoidal screw,14,676/49,2,,,=,35,57.7,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,331,32,0.8,6,0.9,180,220,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,19,462,1127,0.035,200,0.008
61,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363946,GP,Spindle drive with trapezoidal screw,51,17576/343,3,,,=,33,64.4,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,359,32,1,6,1,99,120,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,5.2,710,1530,0.037,200,0.008
62,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363956,GP,Spindle drive with trapezoidal screw,246,421824/1715,4,,,=,28,71.1,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,387,32,1,4,1,20,26,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,1.1,1200,1530,0.037,200,0.008
63,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363971,GP,Spindle drive with ball screw,3.7,26/7,1,,,=,75,51,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,304,32,0.7,6,4.2,230,280,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,72,474,1255,0.037,200,0.01
64,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363974,GP,Spindle drive with ball screw,14,676/49,2,,,=,71,57.7,ball bearing,"350 N, 15 mm from flange",2700,8000,8000,-15...+80,331,32,0.8,6,0.9,180,220,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,19,739,1956,0.037,200,0.01
65,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363980,GP,Spindle drive with ball screw,51,17576/343,3,,,=,66,64.4,ball bearing,"200 N, 15 mm from flange",2700,8000,8000,-15...+80,359,32,1,6,0.7,99,120,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,5.2,1137,2655,0.039,200,0.01
66,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp32s/363990,GP,Spindle drive with ball screw,246,421824/1715,4,,,=,56,71.1,ball bearing,"400 N, 15 mm from flange",2700,8000,8000,-15...+80,387,32,1,4,0.7,20,26,"0.05 mm, 5 mm from flange",,2700,80...+80,0.0,1.1,1921,2655,0.039,200,0.01
67,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370689,GP,High Power,19,3249/169,2,2.4,3,=,70,32.3,ball bearing,"85 N, 10 mm from flange",100,12000,12000,-40...+100,64,22,1.2,3.2,0.4,40,60,"0.2 mm, 10 mm from flange",0 - 0.2,100,,0.0,,,,,,
68,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370776,GP,High Power,53,3375/64,3,3,3.5,=,59,38.95,ball bearing,"100 N, 10 mm from flange",100,12000,12000,-40...+100,78,22,1.6,4,0.4,20,30,"0.2 mm, 10 mm from flange",0 - 0.1,100,,0.0,,,,,,
69,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/370785,GP,High Power,128,41553/325,3,3,3.5,=,59,39,ball bearing,"100 N, 10 mm from flange",100,12000,12000,-40...+100,78,22,1.6,3.2,0.4,20,30,"0.2 mm, 10 mm from flange",0 - 0.1,100,,0.0,,,,,,
70,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/407883,GP,Ceramic version,19,3249/169,2,0.3,0.45,=,81,23.2,ball bearing,"40 N, 6 mm from flange",12,12000,12000,-40...+100,25,16,1.6,2,0.05,16,20,"0.08 mm, 6 mm from flange",0 - 0.08,100,,0.0,,,,,,
71,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/409667,GP,Heavy Duty,198,50625/256,4,3.4,3.8,=,65,45,ball bearing,"110 N, 10 mm from flange",100,11000,20000,-55...+200,96,22,2,4,0.4,20,30,"0.2 mm, 10 mm from flange",0 - 0.1,100,-55...+260,0.0,,,,,,
72,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/410558,GP,Heavy Duty,53,3375/64,3,3,3.5,=,78,38.2,ball bearing,"100 N, 10 mm from flange",100,11000,20000,-55...+200,82,22,1.6,4,0.4,40,60,"0.2 mm, 10 mm from flange",0.1,100,200...+260,0.0,,,,,,
73,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/410637,GP,Heavy Duty,14,225/16,2,2.4,3,=,87,29.7,ball bearing,"85 N, 10 mm from flange",100,11000,20000,-55...+200,65,22,1.2,4,0.4,100,150,"0.2 mm, 10 mm from flange",0 - 0.1,100,-55...+260,0.0,,,,,,
74,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/410657,GP,Heavy Duty,3.8,15/4,1,2,2.5,=,95,20.6,ball bearing,"55 N, 10 mm from flange",100,11000,20000,-55...+200,46,22,1,4,0.6,160,240,"0.2 mm, 10 mm from flange",0 - 0.1,100,-55...+260,0.0,,,,,,
75,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/416211,GP,Heavy Duty,742,759375/1024,5,4,4.4,=,52,51.8,ball bearing,"110 N, 10 mm from flange",100,11000,20000,-55...+200,110,22,2.5,4,0.4,4,4.4,"0.2 mm, 10 mm from flange",0 - 0.1,100,,0.0,,,,,,
76,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/416328,GP,Ceramic version,4.4,57/13,1,0.2,0.3,=,90,18.1,ball bearing,"20 N, 6 mm from flange",12,12000,12000,-40...+100,22,16,1.4,2,0.07,57,71.3,"0.08 mm, 6 mm from flange",0 - 0.05,100,,0.0,,,,,,
77,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/416391,GP,Ceramic version,84,185193/2197,3,0.4,0.6,=,73,26.8,ball bearing,"60 N, 6 mm from flange",12,12000,12000,-40...+100,29,16,2,2,0.05,3.9,4.9,"0.08 mm, 6 mm from flange",0 - 0.05,100,,0.0,,,,,,
