index,url,Gearhead type,Version,Reduction,Absolute reduction,Number of stages,Max. continuous torque,Max. intermittent torque,"Direction of rotation, drive to output",Max. efficiency,Gearhead length (L1),Bearing at output,Max. radial load,Max. axial load (dynamic),Max. continuous input speed,Max. intermittent input speed,Recommended temperature range,Weight,Outer diameter,Average backlash no load,Max. motor shaft diameter,Mass inertia,Max. transmittable power (continuous),Max. transmittable power (intermittent),Radial play,Axial play,Max. force for press fits,Extended temperature range,Number of autoclave cycles,Max. feed velocity,Max. feed force continuous,Max. feed force intermittent,Mechanical positioning accuracy,Spindle length,Axial play of the nut
32,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166944,GP ,Ceramic version ,111 : 1 ,13824/125 ,3 ,6 Nm,7.5 Nm,= ,70 %,43.1 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,194 g,32 mm,1 °,4 mm,0.7 gcm²,45 W,57 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
33,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166951,GP ,Ceramic version ,318 : 1 ,389376/1225 ,4 ,6 Nm,7.5 Nm,= ,60 %,49.8 mm,ball bearing ,"220 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,226 g,32 mm,1 °,4 mm,0.7 gcm²,16 W,20 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
34,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203114,GP ,Ceramic version ,4.3 : 1 ,13/3 ,1 ,3 Nm,4.5 Nm,= ,90 %,41 mm,ball bearing ,"120 N, 12 mm from flange ",150 N,8000 rpm,8000 rpm,-40...+100 °C,260 g,42 mm,0.6 °,8 mm,9.1 gcm²,580 W,880 W,"max. 0.06 mm, 12 mm from flange ",max. 0.3 mm,300 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
35,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203116,GP ,Ceramic version ,15 : 1 ,91/6 ,2 ,7.5 Nm,11.3 Nm,= ,81 %,55.5 mm,ball bearing ,"240 N, 12 mm from flange ",150 N,8000 rpm,8000 rpm,-40...+100 °C,360 g,42 mm,0.8 °,10 mm,15 gcm²,420 W,630 W,"max. 0.06 mm, 12 mm from flange ",max. 0.3 mm,300 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
36,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203119,GP ,Ceramic version ,26 : 1 ,26/1 ,2 ,7.5 Nm,11.3 Nm,= ,81 %,55.5 mm,ball bearing ,"240 N, 12 mm from flange ",150 N,8000 rpm,8000 rpm,-40...+100 °C,360 g,42 mm,0.8 °,8 mm,9.1 gcm²,240 W,360 W,"max. 0.06 mm, 12 mm from flange ",max. 0.3 mm,300 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
37,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203120,GP ,Ceramic version ,43 : 1 ,343/8 ,3 ,15 Nm,22 Nm,= ,72 %,70 mm,ball bearing ,"360 N, 12 mm from flange ",150 N,8000 rpm,8000 rpm,-40...+100 °C,460 g,42 mm,1 °,10 mm,15 gcm²,290 W,430 W,"max. 0.06 mm, 12 mm from flange ",max. 0.3 mm,300 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
38,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203129,GP ,Ceramic version ,156 : 1 ,156/1 ,3 ,15 Nm,22 Nm,= ,72 %,70 mm,ball bearing ,"360 N, 12 mm from flange ",150 N,8000 rpm,8000 rpm,-40...+100 °C,460 g,42 mm,1 °,8 mm,9.1 gcm²,81 W,120 W,"max. 0.06 mm, 12 mm from flange ",max. 0.3 mm,300 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
39,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223081,GP ,Ceramic version ,4.3 : 1 ,13/3 ,1 ,4 Nm,6 Nm,= ,91 %,49 mm,ball bearing ,"420 N, 12 mm from flange ",200 N,6000 rpm,6000 rpm,-15...+80 °C,460 g,52 mm,0.6 °,8 mm,12 gcm²,580 W,880 W,"max. 0.06 mm, 12 mm from flange ",0 - 0.3 mm,500 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
40,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223085,GP ,Ceramic version ,19 : 1 ,169/9 ,2 ,15 Nm,22.5 Nm,= ,83 %,65 mm,ball bearing ,"630 N, 12 mm from flange ",200 N,6000 rpm,6000 rpm,-15...+80 °C,620 g,52 mm,0.8 °,8 mm,9.5 gcm²,500 W,740 W,"max. 0.06 mm, 12 mm from flange ",0 - 0.3 mm,500 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
41,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223089,GP ,Ceramic version ,43 : 1 ,343/8 ,3 ,30 Nm,45 Nm,= ,75 %,78.5 mm,ball bearing ,"900 N, 12 mm from flange ",200 N,6000 rpm,6000 rpm,-15...+80 °C,770 g,52 mm,1 °,10 mm,17.3 gcm²,440 W,660 W,"max. 0.06 mm, 12 mm from flange ",0 - 0.3 mm,500 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
42,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223093,GP ,Ceramic version ,81 : 1 ,2197/27 ,3 ,30 Nm,45 Nm,= ,75 %,78.5 mm,ball bearing ,"900 N, 12 mm from flange ",200 N,6000 rpm,6000 rpm,-15...+80 °C,770 g,52 mm,1 °,8 mm,9.4 gcm²,230 W,350 W,"max. 0.06 mm, 12 mm from flange ",0 - 0.3 mm,500 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
43,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/320247,GP ,High Power ,14 : 1 ,676/49 ,2 ,4 Nm,6 Nm,= ,75 %,48.1 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,178 g,32 mm,0.8 °,6 mm,0.8 gcm²,240 W,360 W,"max. 0.14 mm, 10 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
44,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/326666,GP ,High Power ,79 : 1 ,3887/49 ,3 ,8 Nm,12 Nm,= ,70 %,54.8 mm,ball bearing ,"250 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,213 g,32 mm,1 °,6 mm,0.7 gcm²,85 W,130 W,"max. 0.14 mm, 10 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
